,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
164,Marble,1626958800,39.0717,-107.1908,1,165.22,0.02,1.65,14.48,0.04,4.28,4.74,2.25,134,2021,7,22,13,0
165,Mead,1626958800,40.2317,-104.9911,1,216.96,0.26,6.94,14.31,0.21,4.79,5.43,2.09,"4,731",2021,7,22,13,0
166,Meeker,1626958800,40.05,-107.8947,1,188.59,0.0,0.78,27.9,0.03,2.32,2.72,1.38,"2,252",2021,7,22,13,0
167,Merino,1626958800,40.4836,-103.3536,1,206.95,0.12,4.03,36.48,0.05,9.53,10.24,4.56,281,2021,7,22,13,0
168,Milliken,1626958800,40.3114,-104.8561,1,216.96,0.26,6.94,14.31,0.21,4.79,5.43,2.09,"8,164",2021,7,22,13,0
169,Minturn,1626958800,39.5461,-106.3869,1,170.23,0.32,6.08,11.8,0.09,8.95,9.41,0.61,"1,145",2021,7,22,13,0
170,Moffat,1626958800,38.0028,-105.9064,1,191.93,0.01,1.11,30.04,0.08,6.24,6.64,1.11,119,2021,7,22,13,0
171,Monte Vista,1626958800,37.5789,-106.15,1,170.23,0.11,2.96,9.84,0.02,6.14,6.35,3.04,"4,138",2021,7,22,13,0
172,Montezuma,1626958800,39.5814,-105.8678,2,195.27,0.08,4.24,33.98,0.4,13.59,14.09,0.3,74,2021,7,22,13,0
173,Montrose,1626958800,38.4689,-107.8589,1,188.59,0.07,2.87,8.94,0.01,2.17,2.34,4.24,"19,782",2021,7,22,13,0
174,Monument,1626958800,39.0736,-104.8467,2,220.3,0.01,1.0,38.62,0.16,16.34,16.96,0.32,"8,097",2021,7,22,13,0
175,Morrison,1626958800,39.6369,-105.2006,1,213.62,0.01,1.36,46.49,0.11,8.01,8.53,0.23,424,2021,7,22,13,0
176,Mount Crested Butte,1626958800,38.9083,-106.9606,1,178.58,0.0,0.39,35.05,0.08,5.61,5.85,2.22,876,2021,7,22,13,0
177,Mountain View,1626958800,39.7747,-105.0567,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,537,2021,7,22,13,0
178,Mountain Village,1626958800,37.9325,-107.8578,1,181.91,0.02,1.8,23.25,0.03,4.31,4.53,0.59,"1,426",2021,7,22,13,0
179,Naturita,1626958800,38.2183,-108.5667,1,208.62,0.01,1.07,24.68,0.08,2.14,2.33,1.87,532,2021,7,22,13,0
180,Nederland,1626958800,39.9633,-105.5072,1,195.27,0.01,0.83,31.83,0.05,6.27,6.67,0.07,"1,533",2021,7,22,13,0
181,New Castle,1626958800,39.5775,-107.5267,1,168.56,0.41,4.88,3.89,0.01,3.43,3.94,2.09,"5,203",2021,7,22,13,0
182,Northglenn,1626958800,39.9108,-104.9783,1,250.34,1.87,12.51,4.34,0.22,4.43,5.17,2.34,"38,819",2021,7,22,13,0
183,Norwood,1626958800,38.1292,-108.2919,1,196.93,0.0,1.02,25.75,0.03,2.47,2.65,1.17,579,2021,7,22,13,0
184,Nucla,1626958800,38.2667,-108.5486,1,208.62,0.01,1.07,24.68,0.08,2.14,2.33,1.87,714,2021,7,22,13,0
185,Nunn,1626958800,40.7139,-104.7889,1,220.3,0.05,2.7,27.9,0.23,6.78,7.16,3.14,464,2021,7,22,13,0
186,Oak Creek,1626958800,40.2742,-106.9575,1,156.88,0.15,2.38,7.15,0.02,4.1,4.54,0.32,959,2021,7,22,13,0
187,Olathe,1626958800,38.6083,-107.9833,1,200.27,0.02,2.08,14.48,0.01,3.41,3.69,2.28,"1,837",2021,7,22,13,0
188,Olney Springs,1626958800,38.1664,-103.9444,2,198.6,0.01,1.37,55.08,0.05,10.08,29.21,2.69,340,2021,7,22,13,0
189,Ophir,1626958800,37.8569,-107.8311,1,181.91,0.02,1.8,23.25,0.03,4.31,4.53,0.59,184,2021,7,22,13,0
190,Orchard City,1626958800,38.8144,-107.9706,1,183.58,0.01,1.44,21.82,0.03,3.6,4.01,1.16,"3,212",2021,7,22,13,0
191,Ordway,1626958800,38.2208,-103.7567,2,191.93,0.01,1.05,55.79,0.07,9.19,25.53,2.44,"1,054",2021,7,22,13,0
192,Otis,1626958800,40.15,-102.9622,1,191.93,0.02,1.2,55.79,0.1,5.77,6.41,1.82,486,2021,7,22,13,0
193,Ouray,1626958800,38.0275,-107.6733,1,188.59,0.03,2.04,17.35,0.02,3.43,3.64,0.63,"1,034",2021,7,22,13,0
194,Ovid,1626958800,40.9608,-102.3883,1,200.27,0.03,1.76,60.8,0.14,6.16,6.27,2.22,300,2021,7,22,13,0
195,Pagosa Springs,1626958800,37.2675,-107.0306,1,170.23,0.0,0.3,13.95,0.01,4.82,4.98,0.05,"2,085",2021,7,22,13,0
