,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
600,Turtle Lake,1626958800,47.67,-114.08,1,191.93,0.03,3.73,21.99,0.17,9.62,9.79,3.77,,2021,7,22,13,0
601,Twin Bridges ,1626958800,45.54,-112.33,2,216.96,0.01,3.81,43.63,0.04,11.25,12.13,3.58,,2021,7,22,13,0
602,Ulm,1626958800,47.42,-111.53,2,233.65,0.03,3.77,27.9,0.02,14.65,14.98,3.45,,2021,7,22,13,0
603,Valier ,1626958800,48.31,-112.25,2,213.62,0.0,0.57,87.26,0.13,8.13,8.31,0.74,,2021,7,22,13,0
604,Vaughn,1626958800,47.55,-111.56,2,233.65,0.03,3.77,27.9,0.02,14.65,14.98,3.45,,2021,7,22,13,0
605,Victor,1626958800,46.42,-114.15,2,180.24,0.0,0.83,47.21,0.07,11.41,11.7,0.64,,2021,7,22,13,0
606,Virginia  ,1626958800,45.3,-111.94,2,260.35,0.0,0.99,80.11,0.07,15.25,16.26,2.6,,2021,7,22,13,0
607,Walkerville ,1626958800,46.04,-112.54,2,216.96,0.0,1.59,41.84,0.02,15.5,16.09,0.82,,2021,7,22,13,0
608,Weeksville,1626958800,47.53,-115.01,1,140.19,0.12,2.7,9.39,0.01,2.94,3.07,0.14,,2021,7,22,13,0
609,West Glacier,1626958800,48.49,-114.0,1,148.54,0.18,3.13,9.92,0.05,4.06,4.2,0.05,,2021,7,22,13,0
610,West Glendive,1626958800,47.11,-104.75,2,201.94,0.09,4.46,39.7,0.1,10.88,12.96,2.95,,2021,7,22,13,0
611,West Havre,1626958800,48.55,-109.73,2,277.04,0.01,1.41,78.68,0.05,13.19,17.85,2.0,,2021,7,22,13,0
612,West Kootenai,1626958800,48.97,-115.22,1,180.24,0.0,0.66,60.8,0.1,2.95,3.25,0.16,,2021,7,22,13,0
613,West Yellowstone ,1626958800,44.66,-111.11,3,223.64,0.01,2.29,38.62,0.02,23.33,24.54,2.31,,2021,7,22,13,0
614,Westby ,1626958800,48.87,-104.06,2,185.25,0.06,2.01,24.68,2.03,11.94,14.26,1.03,,2021,7,22,13,0
615,Wheatland,1626958800,45.96,-111.58,2,253.68,0.02,4.63,31.47,0.02,17.06,17.5,5.19,,2021,7,22,13,0
616,White Haven,1626958800,48.35,-115.52,1,168.56,0.08,3.0,16.09,0.03,2.64,2.98,0.34,,2021,7,22,13,0
617,White Sulphur Springs ,1626958800,46.55,-110.9,2,223.64,0.04,2.87,18.95,0.01,14.15,14.45,5.83,,2021,7,22,13,0
618,Whitefish ,1626958800,48.43,-114.36,1,176.91,0.02,1.82,45.06,0.05,2.51,2.75,0.16,,2021,7,22,13,0
619,Whitehall ,1626958800,45.87,-112.1,2,193.6,0.02,3.17,31.11,0.02,12.27,12.84,1.58,,2021,7,22,13,0
620,Whitewater,1626958800,48.76,-107.63,4,307.08,0.02,2.12,55.79,0.07,31.39,32.95,3.52,,2021,7,22,13,0
621,Wibaux ,1626958800,46.99,-104.19,2,206.95,0.03,1.93,54.36,0.36,12.02,15.25,2.47,,2021,7,22,13,0
622,Willow Creek,1626958800,45.82,-111.64,2,200.27,0.03,6.17,27.18,0.03,12.33,12.85,8.74,,2021,7,22,13,0
623,Wilsall,1626958800,45.98,-110.66,1,171.9,0.02,1.99,19.67,0.01,9.75,10.25,5.07,,2021,7,22,13,0
624,Wineglass,1626958800,45.63,-110.62,2,198.6,0.01,2.27,36.48,0.02,11.74,12.37,2.28,,2021,7,22,13,0
625,Winifred ,1626958800,47.56,-109.38,2,297.07,0.01,2.29,50.78,0.02,19.22,19.77,3.36,,2021,7,22,13,0
626,Winnett ,1626958800,47.0,-108.35,1,230.31,0.02,1.95,37.19,0.03,6.56,7.8,3.96,,2021,7,22,13,0
627,Winston,1626958800,46.47,-111.67,2,230.31,0.06,7.2,22.53,0.04,17.29,17.72,4.18,,2021,7,22,13,0
628,Wisdom,1626958800,45.61,-113.45,2,183.58,0.01,0.43,14.66,0.0,16.21,16.93,0.25,,2021,7,22,13,0
629,Wolf Point ,1626958800,48.09,-105.64,2,201.94,0.01,1.23,60.8,0.29,10.14,11.18,1.87,,2021,7,22,13,0
630,Woods Bay,1626958800,48.01,-114.06,1,201.94,0.18,3.86,11.8,0.83,3.97,4.16,1.28,,2021,7,22,13,0
631,Worden,1626958800,45.96,-108.16,2,257.02,0.19,9.77,17.35,0.23,11.45,11.99,6.14,,2021,7,22,13,0
632,Wye,1626958800,46.95,-114.13,2,190.26,0.2,6.08,11.27,0.01,13.64,14.05,0.82,,2021,7,22,13,0
633,Wyola,1626958800,45.12,-107.37,3,267.03,0.02,2.46,37.55,0.03,21.49,22.81,2.76,,2021,7,22,13,0
634,Yaak,1626958800,48.86,-115.68,1,185.25,0.02,1.69,30.4,0.03,3.25,3.56,0.14,,2021,7,22,13,0
635,Zortman,1626958800,47.92,-108.51,2,253.68,0.0,0.57,70.1,0.04,11.14,12.44,1.79,,2021,7,22,13,0
